site,treatment,year,n,CHELSA_bio10_01,prec,hli,soil_Ph,soil_Ph2,soil_ZZ,soil_P,soil_TN,soil_susina,soil_Ca,soil_K,soil_Mg,PC1,PC2,PC3,temp
BAR,4,1,19,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
BAR,4,2,21,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
BAR,4,3,26,54,887,0.840412739,4.22,5.4,11.01,28.443,6918.379,98.48,463.7,85.00177449,48.73098763,1.98047028061971,-0.438961187703609,-0.0681486016344044,88.7
CER,1,0,46,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,1,1,40,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,1,2,36,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,1,3,44,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,2,0,45,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,2,1,36,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,2,2,28,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,2,3,40,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,3,0,35,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,3,1,29,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,3,2,27,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,3,3,36,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,4,0,41,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,4,1,34,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,4,2,37,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CER,4,3,42,88,668,0.710859963,6.11,5.31,16.79,12.368,6330.175,94.16,5522.515,263.381,491.822,0.299917980789904,2.09418671224462,-1.02197707144694,66.8
CVI,1,0,19,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,1,1,22,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,1,2,28,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,1,3,32,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,0,0,12,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,0,1,11,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,0,2,9,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,0,3,12,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,2,0,20,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,2,1,25,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,2,2,29,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,2,3,36,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,3,0,15,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,3,1,18,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,3,2,26,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,3,3,32,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,4,0,19,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
CVI,4,1,17,80,699,0.704443761,6.94,7.51,7.72,47.846,2910.574,98.98,2304.8,98.20138608,40.36776609,-0.240507666590561,-0.203118405976181,0.677322316245555,69.9
