"PC1","PC2","PC3","site"
-1.40701128736005,-0.10127527743023,0.184745269886119,"ADA"
1.98047028061971,-0.438961187703609,-0.0681486016344044,"BAR"
0.299917980789904,2.09418671224462,-1.02197707144694,"CER"
-0.240507666590561,-0.203118405976181,0.677322316245555,"CVI"
0.319283074180462,0.720146647540336,0.365526263594649,"DUB"
0.732449110907632,-1.47982560997619,0.494020012417847,"DUC"
-1.56563478200371,0.380280344311849,-1.61937541603383,"HIG"
-0.37292593065102,-1.02453635884729,-1.03830953891901,"ILI"
0.0799126296752948,-0.290154272496496,0.737498048842961,"JAZ"
-0.248563696971543,-0.627670716041161,1.03438352582842,"KOS"
1.62452969258617,0.64031228338169,-0.564609795420682,"KYS"
0.0400773837874314,1.21641847888886,0.470009825626944,"LET"
-0.627543808076658,-0.16258646897405,1.11501720592328,"LOM"
-1.23210748324072,0.299492039292589,0.414194717687703,"MIK"
-0.0997066515810458,1.07496341243323,1.11079875865322,"POD"
-0.364388283615376,-1.56594679327715,-1.23969917805512,"ROH"
0.117140388824162,-0.169566228009489,-0.158759092750167,"SKL"
-0.119460680752389,0.175293071850575,-1.08387643604901,"SVI"
0.456870155924881,-0.0347741731268564,-0.428606131500042,"SVK"
-0.108918644684699,-0.148712907441839,1.115340573586,"VCL"
0.736118218232125,-0.353964590643201,-0.495495256483495,"ZUB"
0.732449110907632,-1.47982560997619,0.494020012417847,"DUC2"
1.62452969258617,0.64031228338169,-0.564609795420682,"KYS2"
-0.37292593065102,-1.02453635884729,-1.03830953891901,"ILI2"
